ISO_SOV1;code_spygen;station;GEONAME;TERRITORY1;ISO_TER1;SOVEREIGN1;NoViolence_mean;Corruption_mean;bathy;distCoast;HDI2019;neartt;Gravity;NGO;MarineEcosystemDependency;conflicts;Naturalresourcesrents
ATA;SPY193728;Transect_Drake_2;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-408.027008056641;36766.2678059701;NA;NA;NA;0;NA;0;NA
ARG;SPY193729;Transect_Drake_11;Argentinean Exclusive Economic Zone;Argentina;ARG;Argentina;0.08;-0.37;-3484.76000976562;389244.014386222;0.845;NA;NA;213;0.05676;3.5;2.6682659097526
ATA;SPY193730;Transect_26;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-458.622711181641;1028.95830415469;NA;NA;NA;0;NA;0;NA
ATA;SPY193731;Niskin_16;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-458.622711181641;1049.2407942281;NA;NA;NA;0;NA;0;NA
ATA;SPY193732;Niskin_15;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-277.256805419922;1888.36621818544;NA;NA;NA;0;NA;0;NA
ATA;SPY193733;Transect_Drake_9;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-4057.61401367188;352438.270341699;NA;NA;NA;0;NA;0;NA
ATA;SPY193734;Transect_Drake_5;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-4496.52099609375;126388.952455251;NA;NA;NA;0;NA;0;NA
ATA;SPY193735;Transect_Drake_3;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-1974.39904785156;64113.5426423045;NA;NA;NA;0;NA;0;NA
ATA;SPY193736;Transect_Drake_4;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-4435.4248046875;92355.8663333163;NA;NA;NA;0;NA;0;NA
ATA;SPY193737;Niskin_17;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-201.427200317383;3660.19739454744;NA;NA;NA;0;NA;0;NA
ATA;SPY193738;Transect_Drake_8;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-4019.01489257812;299780.440131199;NA;NA;NA;0;NA;0;NA
ATA;SPY193739;Transect_Drake_10;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-2489.2529296875;399008.009975207;NA;NA;NA;0;NA;0;NA
ATA;SPY193740;Transect_22;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-405.303894042969;244.607052496122;NA;NA;NA;0;NA;0;NA
ATA;SPY193741;Transect_22;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-405.303894042969;244.607052496122;NA;NA;NA;0;NA;0;NA
ATA;SPY193742;Transect_21;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-530.001892089844;0;NA;NA;NA;0;NA;0;NA
ATA;SPY193743;Transect_21;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-530.001892089844;0;NA;NA;NA;0;NA;0;NA
ATA;SPY193744;Niskin_9;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-814.338012695312;5665.69437492808;NA;NA;NA;0;NA;0;NA
ATA;SPY193745;Transect_27;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-266.724212646484;108.049269165788;NA;NA;NA;0;NA;0;NA
ATA;SPY193746;Transect_28;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-169.676406860352;113.201553007027;NA;NA;NA;0;NA;0;NA
ATA;SPY193747;Transect_16;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-234.337493896484;549.703541051037;NA;NA;NA;0;NA;0;NA
ATA;SPY193749;Transect_30;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-197.910400390625;5159.47696929963;NA;NA;NA;0;NA;0;NA
ATA;SPY193750;Transect_16;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-234.337493896484;549.703541051037;NA;NA;NA;0;NA;0;NA
ATA;SPY193752;Transect_19;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-139.107604980469;1204.07502395486;NA;NA;NA;0;NA;0;NA
ATA;SPY193753;Transect_29;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-91.9880065917969;770.448753170621;NA;NA;NA;0;NA;0;NA
ATA;SPY193754;Niskin_8;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-183.0166015625;1494.86848330453;NA;NA;NA;0;NA;0;NA
ATA;SPY193755;Transect_17;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-222.289306640625;662.012138612009;NA;NA;NA;0;NA;0;NA
ATA;SPY193756;Transect_20;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-171.535995483398;189.205347046418;NA;NA;NA;0;NA;0;NA
ATA;SPY193757;Transect_19;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-139.107604980469;1204.07502395486;NA;NA;NA;0;NA;0;NA
ATA;SPY193758;Transect_17;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-222.289306640625;662.012138612009;NA;NA;NA;0;NA;0;NA
ATA;SPY193759;Transect_29;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-91.9880065917969;770.448753170621;NA;NA;NA;0;NA;0;NA
ATA;SPY193760;Transect_18;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-176.301300048828;209.191575000687;NA;NA;NA;0;NA;0;NA
ATA;SPY193761;Transect_18;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-176.301300048828;209.191575000687;NA;NA;NA;0;NA;0;NA
