"code_spygen","station","latitude_start","longitude_start","date","mean_SST_1year","median_SST_1year","q95_SST_1year","q05_SST_1year","min_SST_1year","max_SST_1year","mean_SST_5year","median_SST_5year","q95_SST_5year","q05_SST_5year","min_SST_5year","max_SST_5year"
"SPY181907","passe_faka_T","-16.5209","-145.459671","2018-06-22",27.8582240437158,27.92,28.89,26.4425,26.21,29.13,28.064231678487,28.25,29.44,26.474,26.04,30.06
"SPY181888","passe_faka_T","-16.5209","-145.459671","2018-06-22",27.8582240437158,27.92,28.89,26.4425,26.21,29.13,28.064231678487,28.25,29.44,26.474,26.04,30.06
"SPY181909","faka_profond_0","-16.531748","-145.455602","2018-06-24",27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
"SPY181902","profond_faka_100m","-16.531748","-145.455602","2018-06-24",27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
"SPY181896","profond_faka_50m","-16.531748","-145.455602","2018-06-24",27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
"SPY181831","profond_2_faka_0m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181886","profond_2_faka_0m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181887","profond_faka_200m","-16.531748","-145.455602","2018-06-24",27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
"SPY181895","profond_faka_150m","-16.531748","-145.455602","2018-06-24",27.8548633879781,27.91,28.89,26.4425,26.21,29.13,28.0633359559402,28.25,29.44,26.475,26.04,30.06
"SPY181917","profond_2_faka_200m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181536","profond_2_faka_100m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181922","profond_2_faka_50m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181885","faka_prof_2_150m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181918","faka_prof_2_200m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181905","faka_prof_2_150m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181892","faka_prof_2_100m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181915","faka_prof_2_50m","-16.525988","-145.450593","2018-06-25",27.853825136612,27.91,28.89,26.4425,26.21,29.13,28.0628301886792,28.25,29.44,26.4755,26.04,30.06
"SPY181512","estuaire_rio_don_diego_1","11.26593","-73.69206","2018-10-15",26.7925136612022,26.975,29.02,23.77,22.36,29.8,26.8670592485549,26.98,29.06,24.4915,22.36,30.09
"SPY181518","estuaire_rio_don_diego_1","11.26593","-73.69206","2018-10-15",26.7925136612022,26.975,29.02,23.77,22.36,29.8,26.8670592485549,26.98,29.06,24.4915,22.36,30.09
"SPY181506","estuaire_rio_don_diego_2","11.2668","-73.702106","2018-10-15",26.781174863388,26.97,29.0175,23.7925,22.49,29.74,26.8575072254335,26.97,29.04,24.493,22.49,30.1
"SPY181520","estuaire_rio_don_diego_2","11.2668","-73.702106","2018-10-15",26.781174863388,26.97,29.0175,23.7925,22.49,29.74,26.8575072254335,26.97,29.04,24.493,22.49,30.1
"SPY181517","estuaire_rio_don_diego_3","11.266771","-73.641601","2018-10-16",26.8095901639344,26.99,29.04,23.755,22.27,29.87,26.8832996389892,27,29.06,24.492,22.27,30.11
"SPY181498","estuaire_rio_don_diego_3","11.266771","-73.641601","2018-10-16",26.8095901639344,26.99,29.04,23.755,22.27,29.87,26.8832996389892,27,29.06,24.492,22.27,30.11
"SPY182539","rio_don_diego1","11.257738","-73.704129","2018-10-16",26.781912568306,26.97,29.02,23.7925,22.49,29.74,26.8591046931408,26.97,29.048,24.494,22.49,30.1
"SPY182538","rio_don_diego1","11.257738","-73.704129","2018-10-16",26.781912568306,26.97,29.02,23.7925,22.49,29.74,26.8591046931408,26.97,29.048,24.494,22.49,30.1
"SPY182537","rio_don_diego2","11.242452","-73.69688","2018-10-16",26.793306010929,26.975,29.035,23.77,22.36,29.8,26.868642599278,26.98,29.06,24.492,22.36,30.09
"SPY182535","rio_don_diego2","11.242452","-73.69688","2018-10-16",26.793306010929,26.975,29.035,23.77,22.36,29.8,26.868642599278,26.98,29.06,24.492,22.36,30.09
"SPY182534","rio_don_diego3","11.226491","-73.697869","2018-10-16",26.793306010929,26.975,29.035,23.77,22.36,29.8,26.868642599278,26.98,29.06,24.492,22.36,30.09
"SPY182536","rio_don_diego3","11.226491","-73.697869","2018-10-16",26.793306010929,26.975,29.035,23.77,22.36,29.8,26.868642599278,26.98,29.06,24.492,22.36,30.09
"SPY181519","santamarta_deep1_53m","11.312972","-73.780055","2018-10-17",26.7830601092896,26.945,29.025,23.8125,22.49,29.72,26.8707647907648,26.98,29.0675,24.5375,22.49,30.12
"SPY181531","santamarta_deep1_35m","11.312972","-73.780055","2018-10-17",26.7830601092896,26.945,29.025,23.8125,22.49,29.72,26.8707647907648,26.98,29.0675,24.5375,22.49,30.12
"SPY181513","santamarta_deep1_0m","11.312972","-73.780055","2018-10-17",26.7830601092896,26.945,29.025,23.8125,22.49,29.72,26.8707647907648,26.98,29.0675,24.5375,22.49,30.12
"SPY181521","santamarta_deep2_115m","11.347639","-73.766667","2018-10-17",26.7830601092896,26.945,29.025,23.8125,22.49,29.72,26.8707647907648,26.98,29.0675,24.5375,22.49,30.12
"SPY181523","santamarta_deep2_0m","11.347639","-73.766667","2018-10-17",26.7830601092896,26.945,29.025,23.8125,22.49,29.72,26.8707647907648,26.98,29.0675,24.5375,22.49,30.12
"SPY181527","santamarta_deep2_58m","11.347639","-73.766667","2018-10-17",26.7830601092896,26.945,29.025,23.8125,22.49,29.72,26.8707647907648,26.98,29.0675,24.5375,22.49,30.12
"SPY181508","tayrona_camera_1","11.337649","-74.110443","2018-10-22",26.8948633879781,27.02,29.0375,24.135,22.68,29.92,26.9855859094177,27.08,29.13,24.635,22.44,30.37
"SPY181538","tayrona_camera_1","11.337649","-74.110443","2018-10-22",26.8948633879781,27.02,29.0375,24.135,22.68,29.92,26.9855859094177,27.08,29.13,24.635,22.44,30.37
"SPY181515","tayrona_camera_1","11.337649","-74.110443","2018-10-22",26.8948633879781,27.02,29.0375,24.135,22.68,29.92,26.9855859094177,27.08,29.13,24.635,22.44,30.37
"SPY181525","tayrona_camera_1","11.337649","-74.110443","2018-10-22",26.8948633879781,27.02,29.0375,24.135,22.68,29.92,26.9855859094177,27.08,29.13,24.635,22.44,30.37
"SPY181501","tayrona_camera_1","11.337649","-74.110443","2018-10-22",26.8948633879781,27.02,29.0375,24.135,22.68,29.92,26.9855859094177,27.08,29.13,24.635,22.44,30.37
"SPY181514","tayrona_camera_1","11.337649","-74.110443","2018-10-22",26.8948633879781,27.02,29.0375,24.135,22.68,29.92,26.9855859094177,27.08,29.13,24.635,22.44,30.37
"SPY181500","tayrona_camera_2","11.328275","-74.114845","2018-10-24",26.8941530054645,27.02,29.0375,24.135,22.68,29.92,26.9876812634602,27.08,29.13,24.638,22.44,30.37
"SPY181516","tayrona_camera_2","11.328275","-74.114845","2018-10-24",26.8941530054645,27.02,29.0375,24.135,22.68,29.92,26.9876812634602,27.08,29.13,24.638,22.44,30.37
"SPY181499","tayrona_saturation_1","11.330775","-74.116304","2018-10-24",26.8941530054645,27.02,29.0375,24.135,22.68,29.92,26.9876812634602,27.08,29.13,24.638,22.44,30.37
"SPY181539","tayrona_saturation_1","11.330775","-74.116304","2018-10-24",26.8941530054645,27.02,29.0375,24.135,22.68,29.92,26.9876812634602,27.08,29.13,24.638,22.44,30.37
"SPY181503","tayrona_saturation_2","11.340723","-74.112103","2018-10-24",26.8941530054645,27.02,29.0375,24.135,22.68,29.92,26.9876812634602,27.08,29.13,24.638,22.44,30.37
