"code_spygen","station","latitude_start","longitude_start","date","mean_sss_1year","median_sss_1year","q95_sss_1year","q05_sss_1year","min_sss_1year","max_sss_1year","mean_sss_5year","median_sss_5year","q95_sss_5year","q05_sss_5year","min_sss_5year","max_sss_5year"
"SPY180592","malpelo2","4.00685","-81.60143","2018-03-14",32.4093798001607,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180593","malpelo6","3.98944","-81.60462","2018-03-16",32.473473072052,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180594","malpelo2","4.00685","-81.60143","2018-03-14",32.4093798001607,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180595","malpelo5","4.00885","-81.60547","2018-03-16",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180596","malpelo3","4.00515","-81.59995","2018-03-15",32.4557646237887,32.3112487792969,33.217529296875,31.7633186340332,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180597","malpelo3","4.00515","-81.59995","2018-03-15",32.4557646237887,32.3112487792969,33.217529296875,31.7633186340332,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180598","malpelo5","4.00885","-81.60547","2018-03-16",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180599","malpelo4","3.99871","-81.62184","2018-03-15",32.520723929772,32.3785934448242,33.2378639221191,31.8357429504395,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
"SPY180600","bois_flottant","4.02167","-81.585","2018-03-19",32.4055933952332,32.2873611450195,33.2294464111328,31.7589924812317,31.711404800415,33.3605346679688,32.4649918874105,32.3395233154297,33.804016494751,31.3974726676941,31.3046188354492,33.8552474975586
"SPY180602","malpelo6","3.98944","-81.60462","2018-03-16",32.473473072052,32.3733043670654,33.2501499176025,31.8333840370178,31.8074359893799,33.3852958679199,32.5405257542928,32.4172096252441,33.8398056030273,31.4945596694946,31.4228744506836,33.8849563598633
