"code_spygen","station","latitude_start","longitude_start","date","mean_DHW_1year","median_DHW_1year","q95_DHW_1year","q05_DHW_1year","min_DHW_1year","max_DHW_1year","mean_DHW_5year","median_DHW_5year","q95_DHW_5year","q05_DHW_5year","min_DHW_5year","max_DHW_5year"
"SPY181706","carry_le_rouet_3","43.357043","5.28961","2018-06-04",0.195382509294063,0,0.849999981001019,0,0,0.849999981001019,0.47414067685217,0,4.71999989449978,0,0,5.53999987617135
"SPY181703","carry_le_rouet_3","43.357043","5.28961","2018-06-04",0.195382509294063,0,0.849999981001019,0,0,0.849999981001019,0.47414067685217,0,4.71999989449978,0,0,5.53999987617135
"SPY181818","porquerolles_1","42.996874","6.247296","2018-06-14",0.651584684889498,0,2.83999993652105,0,0,2.83999993652105,0.778112591648272,0,6.85999984666705,0,0,8.34999981336296
"SPY181819","porquerolles_1","42.996874","6.247296","2018-06-14",0.651584684889498,0,2.83999993652105,0,0,2.83999993652105,0.778112591648272,0,6.85999984666705,0,0,8.34999981336296
"SPY181812","porquerolles_1","42.993934","6.231181","2018-06-14",0.651584684889498,0,2.83999993652105,0,0,2.83999993652105,0.778112591648272,0,6.85999984666705,0,0,8.34999981336296
"SPY181153","porquerolles_1","42.993934","6.231181","2018-06-14",0.651584684889498,0,2.83999993652105,0,0,2.83999993652105,0.778112591648272,0,6.85999984666705,0,0,8.34999981336296
"SPY181816","porquerolles_2","42.989867","6.19165","2018-06-14",0.617349712977114,0,2.68999993987381,0,0,2.68999993987381,0.757668500114749,0,6.69999985024333,0,0,8.16999981738627
"SPY181813","porquerolles_2","42.989867","6.19165","2018-06-14",0.617349712977114,0,2.68999993987381,0,0,2.68999993987381,0.757668500114749,0,6.69999985024333,0,0,8.16999981738627
"SPY181826","porquerolles_2","42.994923","6.178013","2018-06-14",0.617349712977114,0,2.68999993987381,0,0,2.68999993987381,0.757668500114749,0,6.69999985024333,0,0,8.16999981738627
"SPY181808","porquerolles_2","42.994923","6.178013","2018-06-14",0.617349712977114,0,2.68999993987381,0,0,2.68999993987381,0.757668500114749,0,6.69999985024333,0,0,8.16999981738627
"SPY181825","porquerolles_3","43.009209","6.184702","2018-06-14",0.610409822421851,0,2.65999994054437,0,0,2.65999994054437,0.722363187660427,0,6.41999985650182,0,0,7.68999982811511
"SPY181815","porquerolles_3","43.009209","6.184702","2018-06-14",0.610409822421851,0,2.65999994054437,0,0,2.65999994054437,0.722363187660427,0,6.41999985650182,0,0,7.68999982811511
"SPY181809","porquerolles_3","43.009663","6.172318","2018-06-14",0.610409822421851,0,2.65999994054437,0,0,2.65999994054437,0.722363187660427,0,6.41999985650182,0,0,7.68999982811511
"SPY181821","porquerolles_3","43.009663","6.172318","2018-06-14",0.610409822421851,0,2.65999994054437,0,0,2.65999994054437,0.722363187660427,0,6.41999985650182,0,0,7.68999982811511
"SPY181830","cap_roux_1","43.453856","6.922852","2018-06-20",0.778224026321185,0,3.3899999242276,0,0,3.3899999242276,1.17290447259964,0,9.5279997870326,0,0,12.8199997134507
"SPY181829","cap_roux_1","43.453856","6.922852","2018-06-20",0.778224026321185,0,3.3899999242276,0,0,3.3899999242276,1.17290447259964,0,9.5279997870326,0,0,12.8199997134507
"SPY181810","cap_roux_1","43.460438","6.923639","2018-06-20",0.778224026321185,0,3.3899999242276,0,0,3.3899999242276,1.17290447259964,0,9.5279997870326,0,0,12.8199997134507
"SPY181814","cap_roux_1","43.460438","6.923639","2018-06-20",0.778224026321185,0,3.3899999242276,0,0,3.3899999242276,1.17290447259964,0,9.5279997870326,0,0,12.8199997134507
"SPY181820","cap_roux_2","43.427908","6.88989","2018-06-20",0.79822402587415,0,3.47999992221594,0,0,3.47999992221594,1.16160218398092,0,9.45799978859723,0,0,12.7099997159094
"SPY181811","cap_roux_2","43.427908","6.88989","2018-06-20",0.79822402587415,0,3.47999992221594,0,0,3.47999992221594,1.16160218398092,0,9.45799978859723,0,0,12.7099997159094
"SPY180634","cap_roux_2","43.427372","6.88044","2018-06-20",0.79822402587415,0,3.47999992221594,0,0,3.47999992221594,1.16160218398092,0,9.45799978859723,0,0,12.7099997159094
"SPY180934","cap_roux_2","43.427372","6.88044","2018-06-20",0.79822402587415,0,3.47999992221594,0,0,3.47999992221594,1.16160218398092,0,9.45799978859723,0,0,12.7099997159094
"SPY180635","cap_roux_3","43.417858","6.829228","2018-06-20",0.702103809443369,0,3.05999993160367,0,0,3.05999993160367,1.05678766382963,0,8.81899980288,0,0,11.7599997371435
"SPY180630","cap_roux_3","43.417858","6.829228","2018-06-20",0.702103809443369,0,3.05999993160367,0,0,3.05999993160367,1.05678766382963,0,8.81899980288,0,0,11.7599997371435
"SPY181822","cap_roux_3","43.414792","6.8148","2018-06-20",0.702103809443369,0,3.05999993160367,0,0,3.05999993160367,1.05678766382963,0,8.81899980288,0,0,11.7599997371435
"SPY181823","cap_roux_3","43.414792","6.8148","2018-06-20",0.702103809443369,0,3.05999993160367,0,0,3.05999993160367,1.05678766382963,0,8.81899980288,0,0,11.7599997371435
"SPY182540","banyuls19_1","42.461737","3.161565","2019-07-10",1.66896171132968,0,7.01999984309077,0,0,7.01999984309077,0.583323231513767,0,4.19999990612268,0,0,7.01999984309077
"SPY182542","banyuls19_1","42.461737","3.161565","2019-07-10",1.66896171132968,0,7.01999984309077,0,0,7.01999984309077,0.583323231513767,0,4.19999990612268,0,0,7.01999984309077
"SPY182168","banyuls19_1","42.468838","3.159013","2019-07-10",1.66896171132968,0,7.01999984309077,0,0,7.01999984309077,0.583323231513767,0,4.19999990612268,0,0,7.01999984309077
"SPY181975","banyuls19_1","42.468482","3.159341","2019-07-10",1.66896171132968,0,7.01999984309077,0,0,7.01999984309077,0.583323231513767,0,4.19999990612268,0,0,7.01999984309077
"SPY182160","banyuls19_2","42.423661","3.169849","2019-07-10",1.58882510109901,0,6.67999985069036,0,0,6.67999985069036,0.552366815740806,0,3.93999991193414,0,0,6.67999985069036
"SPY182155","banyuls19_2","42.423661","3.169849","2019-07-10",1.58882510109901,0,6.67999985069036,0,0,6.67999985069036,0.552366815740806,0,3.93999991193414,0,0,6.67999985069036
"SPY182544","banyuls19_2","42.409949","3.163444","2019-07-10",1.58882510109901,0,6.67999985069036,0,0,6.67999985069036,0.552366815740806,0,3.93999991193414,0,0,6.67999985069036
"SPY182543","banyuls19_2","42.409949","3.163444","2019-07-10",1.58882510109901,0,6.67999985069036,0,0,6.67999985069036,0.552366815740806,0,3.93999991193414,0,0,6.67999985069036
"SPY181827","banyuls19_3","42.359825","3.166933","2019-07-10",1.49931690637837,0,6.29999985918403,0,0,6.29999985918403,0.521337760744287,0,3.4379999231547,0,0,6.29999985918403
"SPY181817","banyuls19_3","42.359825","3.166933","2019-07-10",1.49931690637837,0,6.29999985918403,0,0,6.29999985918403,0.521337760744287,0,3.4379999231547,0,0,6.29999985918403
